Sensor	    Low	     High	1 - S2A	FC2L	3 - Launch	5 - Brake1	Postflight	6 - Crawling	7 - Brake2	Trigger	Fault (INIT TO ZERO)	NOTES (not read by SDA)
BMS_RelayState	0	0	0	0	0	0	0	0	0	0	0	
BMS_PackCurrent	0	0	0	0	0	0	0	0	0	0	0	
BMS_PackVoltage	0	0	0	0	0	0	0	0	0	0	0	
BMS_PackStateOfCharge	0	0	0	0	0	0	0	0	0	0	0	
BMS_PackStateOfHealth	0	0	0	0	0	0	0	0	0	0	0	
BMS_CurrentLimitStatus	0	0	0	0	0	0	0	0	0	0	0	
BMS_InternalTemp	0	0	0	0	0	0	0	0	0	0	0	
BMS_HighestTemp	0	0	0	0	0	0	0	0	0	0	0	
BMS_HighestTempID	0	0	0	0	0	0	0	0	0	0	0	
BMS_LowCellVoltage	0	0	0	0	0	0	0	0	0	0	0	
BMS_LowCellVoltageID	0	0	0	0	0	0	0	0	0	0	0	
BMS_HighCellVoltage	0	0	0	0	0	0	0	0	0	0	0	
BMS_HighCellVoltageID	0	0	0	0	0	0	0	0	0	0	0	
BMS_PowerInputVoltage	0	0	0	0	0	0	0	0	0	0	0	
BMS_DTCStatus1	0	0	0	0	0	0	0	0	0	0	0	
BMS_DTCStatus2	0	0	0	0	0	0	0	0	0	0	0	
LVBatt_Temp	0	50	1	0	1	1	0	1	1	0	0	
LVBatt_Current	0	15	1	0	1	1	0	1	1	1	0	
LVBatt_Voltage	10.8	13.5	1	0	1	1	0	1	1	0	0	
RPi_Temp	0	70	1	0	1	1	0	0	0	1	0	
RPi_Proc_Load	0	100	1	0	0	0	0	0	0	0	0	
RPi_Disk_Space_Used	0	15000	0	0	0	0	0	0	0	0	0	MB
RPi_Disk_Space_Free	1000	16000	0	0	0	0	0	0	0	0	0	MB
RPi_Mem_Free	0	0	0	0	1	1	0	0	0	0	0	
RPi_Mem_Used	0	0	0	0	1	1	0	0	0	0	0	
RPi_Mem_Load	0	80	1	0	1	1	0	0	0	0	0	
PV_Left_Temp	0	50	1	0	1	1	0	0	0	1	0	
PV_Left_Pressure	9	15	1	0	1	1	0	1	1	1	0	
PV_Right_Temp	0	50	1	0	1	1	0	0	0	1	0	
PV_Right_Pressure	9	15	1	0	1	1	0	1	1	1	0	
Brake_Pressure	177	225	0	0	1	0	0	1	0	1	0	
Ambient_Pressure	0	2	0	0	1	0	0	0	0	0	0	
IMU1_X	-0.05	0.05	0	0	0	0	0	0	0	0	0	
IMU1_Y	-0.05	0.05	0	0	0	0	0	0	0	0	0	
IMU1_Z	-0.05	0.05	0	0	0	0	0	0	0	0	0	
IMU2_X	-0.05	0.05	0	0	0	0	0	0	0	0	0	
IMU2_Y	-0.05	0.05	0	0	0	0	0	0	0	0	0	
IMU2_Z	-0.05	0.05	0	0	0	0	0	0	0	0	0	
IMU_bad_time_elapsed	-1	2	0	0	1	0	0	0	0	1	0	
V_bad_time_elapsed	-1	2	0	0	1	0	0	1	0	1	0	
D_diff	-1	220	0	0	1	0	0	1	0	0	0	
LIDAR	0	999	0	0	0	0	0	1	0	1	0	
GUI_Conn_time	0	2	0	0	0	0	0	0	0	0	0	
LST_Left	0	0	0	0	0	0	0	0	0	0	0	
LST_Right	0	0	0	0	0	0	0	0	0	0	0	
