Sensor	ID#	Value	Time Changed
BMS_Cell_Temp	0	30	0
BMS_Cell_Temp	1	35	0
BMS_Cell_Voltage_Leader	2	3.9	0
BMS_Cell_Voltage_Laggard	3	4.1	0
BMSConn	4	1	0
MotorRes	5	0	0
MotorRes	6	0	0
MotorRes	7	0	0
MotorRes	8	0	0
SD_Conn	9	1	0
SD_Temp	10	25	0
SD_Temp	11	25	0
SD_HV_Curr	12	1	0
SD_HV_Curr	13	250	0
LVBatt_Temp	14	25	0
LVBatt_Curr	15	5	0
LVBatt_Voltage	16	12.5	0
RPi_Temp	17	35	0
RPi_Proc_Load	18	25	0
RPi_Mem_Load	19	25	0
PV_Left_Temp	20	25	0
PV_Left_Press	21	12.5	0
PV_Right_Temp	22	25	0
PV_Right_Press	23	12.5	0
PX2BrakeP	24	0	0
BMPAmbP	25	0.01	0
IMUFrontX	26	0.01	0
IMUFrontY	27	-1.02	0
IMUFrontZ	28	0	0
IMURearX	29	0	0
IMURearY	30	-1.03	0
IMURearZ	31	0	0
LIDAR	32	0	0
RadioConn	33	1	0
LSTLeftD	34	0	0
LSTRightD	35	0	0
LSTLeftConn	36	1	0
LSTRightConn	37	1	0
BMSCellT	38	0	0
BMSCellV	39	0	0
BMSConn	40	0	0
MotorRes	41	0	0
SDConn	42	0	0
SDT	43	0	0
SDHVC	44	0	0
LVBattT	45	0	0
LVBattC	46	0	0
LVBattV	47	0	0
RPiOBT	48	0	0
RPiProc	49	0	0
RPiMem	50	0	0
BMELeftT	51	0	0
BMELeftP	52	0	0
BMERightT	53	0	0
BMERightP	54	0	0
PX2BrakeP	55	0	0
BMPAmbP	56	0	0
IMUFrontX	57	0	0
IMUFrontY	58	0	0
IMUFrontZ	59	0	0
IMURearX	60	0	0
IMURearY	61	0	0
IMURearZ	62	0	0
LIDAR	63	0	0
RadioConn	64	0	0
LSTLeftD	65	0	0
LSTRightD	66	0	0
LSTLeftConn	67	0	0
LSTRightConn	68	0	0
BMSCellT	69	0	0
BMSCellV	70	0	0
BMSConn	71	0	0
MotorRes	72	0	0
SDConn	73	0	0
SDT	74	0	0
SDHVC	75	0	0
LVBattT	76	0	0
LVBattC	77	0	0
LVBattV	78	0	0
RPiOBT	79	0	0
RPiProc	80	0	0
RPiMem	81	0	0
BMELeftT	82	0	0
BMELeftP	83	0	0
BMERightT	84	0	0
BMERightP	85	0	0
PX2BrakeP	86	0	0
BMPAmbP	87	0	0
IMUFrontX	88	0	0
IMUFrontY	89	0	0
IMUFrontZ	90	0	0
IMURearX	91	0	0
IMURearY	92	0	0
IMURearZ	93	0	0
LIDAR	94	0	0
RadioConn	95	0	0
LSTLeftD	96	0	0
LSTRightD	97	0	0
LSTLeftConn	98	0	0
LSTRightConn	99	0	0
BMSCellT	100	0	0
BMSCellV	101	0	0
BMSConn	102	0	0
MotorRes	103	0	0
SDConn	104	0	0
SDT	105	0	0
SDHVC	106	0	0
LVBattT	107	0	0
LVBattC	108	0	0
LVBattV	109	0	0
RPiOBT	110	0	0
RPiProc	111	0	0
RPiMem	112	0	0
BMELeftT	113	0	0
BMELeftP	114	0	0
BMERightT	115	0	0
BMERightP	116	0	0
PX2BrakeP	117	0	0
BMPAmbP	118	0	0
IMUFrontX	119	0	0
IMUFrontY	120	0	0
